"model.order" "bugs.actual" "fc.mean"
1 8 25.4333371412422
1 8 10.627148315492
1 12 7.19572005360862
1 18 11.2267934158447
1 23 17.4399590093872
1 21 19.6730806944745
1 23 21.2418025108859
1 14 23.0899646236624
1 3 20.3661687091024
1 26 2.24374299835139
1 10 18.5466136270889
1 3 20.8028332493076
1 11 18.629096625879
1 10 2.71388874334332
1 12 9.95602977140274
1 5 16.820291943826
1 12 5.60461954820271
1 12 7.37114615615889
1 30 15.7115904982442
1 33 27.0242426125551
1 7 23.1978746257924
1 4 13.4204874568238
1 7 9.29007544165233
1 38 2.5300404721114
1 30 35.3115155192798
1 17 36.8440094931654
1 14 13.4187774743712
1 20 24.3418066531467
1 27 18.5884369706648
1 6 10.9324156440721
1 4 5.82074829292817
1 9 1.31741471383207
1 19 8.1003277582054
1 16 18.1805845892854
1 13 17.1936836233602
1 20 13.3716045211102
1 16 18.3290606453389
1 37 18.0005505884432
1 44 30.0712953673612
1 66 42.341525337473
1 88 61.1768945346372
1 130 91.7817054627895
2 43 157.481406672045
1 69 57.2375807417632
1 31 75.645787021272
1 60 34.9222100406751
1 39 47.4412057554063
1 47 48.6751415687279
1 26 50.5409892019878
1 31 23.8908145330678
1 17 28.8194220633736
1 16 24.6208910094167
1 22 18.6178460149671
1 41 17.6064827320469
1 23 40.1537870083091
1 28 24.3707459296253
1 38 23.5273610716614
1 49 36.6958990904115
1 39 44.6799209405354
1 31 42.6332101120923
1 37 38.6656351121563
1 62 29.860856636285
1 49 57.7742140053312
1 33 53.8416212349144
1 34 39.1388823617934
1 39 33.712007302032
1 37 37.7652202209229
1 16 35.5568179043127
1 23 23.2825863946395
1 15 22.5089827589802
1 28 16.7262405264795
1 20 19.7925381872445
1 18 23.3197947446513
1 40 33.2933471420832
1 19 18.3089877701317
1 99 49.1199808605001
1 38 40.7232730506133
1 51 36.9681410221003
1 34 53.6800051120732
1 53 39.149977151222
1 59 45.9676870936913
1 41 50.4852263405743
1 83 58.7410030873679
1 70 62.4462455497592
1 68 78.9689286591657
1 48 66.4557147517791
1 64 54.8011449690285
1 63 57.5449938073196
1 112 63.8907196334756
1 42 90.5154929478798
1 105 77.1849433762737
1 89 69.1582491713731
1 60 98.5653049626443
1 57 73.2803907318962
1 43 62.8069607212887
1 77 43.217526362857
1 91 54.6687537198158
1 65 80.9659454733347
1 64 77.5233484599491
2 42 63.1764329404228
1 26 57.3455925682138
1 39 36.8706083499249
1 19 27.9823739949197
1 33 29.8150042341263
1 40 26.9760467144904
1 32 35.141762664605
1 19 30.9288654543561
1 23 34.8956606662568
1 30 17.8841220181626
1 30 25.6653580507272
1 68 28.5986346443795
1 53 50.4421469893376
1 52 53.4939266248602
1 54 55.8077577317959
1 52 48.8339766262128
1 42 53.6677968039976
1 29 45.1149782908365
1 36 35.8653457442648
1 33 31.5366963946582
1 22 31.0708938453518
1 18 26.0497080185789
1 20 18.3396421441691
1 6 19.6217206819986
1 18 8.82718014621211
1 24 14.5483136923794
1 29 22.3733330957398
1 23 29.6576724649403
1 28 21.9813372390773
1 18 29.1690509797162
1 41 17.456392297278
1 38 36.5190284372335
1 50 38.7406020377731
1 43 47.9222958303759
1 25 44.8721859578453
1 29 28.5618208128425
1 22 28.110997785086
1 26 23.4274284548748
1 28 25.3036331891408
1 24 29.6674043989477
1 26 22.877981215216
1 44 25.5021895232109
1 36 41.4091571363448
1 31 38.0575204432664
1 22 34.4402084575221
1 21 20.4819941010236
1 32 21.3126525744937
1 13 28.8605465928403
1 15 18.689093522098
1 4 14.1334874753502
1 14 3.55066484959561
1 11 -3.43093219721917
1 28 18.7423358544416
1 23 21.8124187503589
1 21 25.0274097464289
1 28 21.9562975530623
1 22 29.9771457680488
1 26 20.8121701506211
1 25 30.6454878696849
1 14 27.6156704963226
1 8 18.9720574523302
