"model.order" "bugs.actual" "fc.mean"
1 64 52.63415816917
1 58 60.6427558725259
1 52 55.9932624064028
1 24 52.6239709476747
1 39 27.5929983501821
1 69 22.4787371362376
1 61 73.770570311472
1 31 41.1861101974875
1 29 31.2517977791737
1 31 28.7074967115216
1 56 33.242694168522
1 50 68.8306817123241
1 51 48.5706443637451
1 45 48.0538894856954
1 53 48.9704647796091
1 78 52.253855750729
1 89 78.3723054062603
1 70 98.6735987536651
1 68 25.3070189916283
1 111 69.8543332409146
1 58 86.6885040409016
1 68 59.4467558383611
1 70 77.9559152514109
1 69 62.3902496019198
1 65 80.1520454952503
1 105 44.5852500208081
1 91 109.359201158341
1 69 89.6514215707371
1 104 189.138396337771
1 103 109.041424534297
1 90 96.9736890892286
1 43 77.1716638398241
1 57 62.6804834068055
1 92 111.724213257508
1 163 97.1630049796956
1 151 80.1204892416309
1 93 131.899654513504
