period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
30	12	0	103	20	0	43.6864	0.7229	0.6024	
30	15	0	100	16	2	34.8502	0.8171	0.622	
30	18	0	97	20	4	32.3821	0.8082	0.7123	
30	21	0	94	18	5	34.5304	0.7465	0.6761	
30	24	0	91	1	10	36.6959	0.725	0.6625	
30	27	0	88	0	12	33.2856	0.7368	0.6184	
30	30	0	85	1	7	33.3657	0.7662	0.6753	
30	33	0	82	1	6	33.0471	0.8267	0.68	
30	36	0	79	0	4	31.0204	0.84	0.7333	
30	12	1	102	10	3	39.2089	0.4045	0.3371	
30	15	1	99	12	6	35.8939	0.4444	0.3827	
30	18	1	96	7	2	36.2631	0.3908	0.3103	
30	21	1	93	7	5	34.3627	0.3827	0.2963	
30	24	1	90	1	10	36.8309	0.3418	0.2532	
30	27	1	87	1	13	37.2506	0.3836	0.2603	
30	30	1	84	0	13	37.2207	0.3239	0.2254	
30	33	1	81	0	18	39.2093	0.2698	0.1587	
30	36	1	78	0	18	37.0815	0.3333	0.25	
30	12	2	101	20	0	55.6171	0.3457	0.2346	
30	15	2	98	23	2	51.4706	0.274	0.2055	
30	18	2	95	22	0	52.889	0.3562	0.2466	
30	21	2	92	19	0	47.3575	0.2192	0.1507	
30	24	2	89	6	0	47.1952	0.241	0.1325	
30	27	2	86	4	0	46.1986	0.2317	0.1585	
30	30	2	83	4	0	46.4639	0.2405	0.1772	
30	33	2	80	4	1	42.8021	0.2133	0.1067	
30	36	2	77	3	0	44.603	0.2162	0.1757	
