period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
30	12	0	134	0.2612	0.0606	8.9959	0.8387	0.7312	
30	15	0	131	0.2672	0.0312	9.2606	0.871	0.7097	
30	18	0	128	0.2734	0.043	9.3738	0.8427	0.6966	
30	21	0	125	0.28	0.0333	10.0769	0.8391	0.6322	
30	24	0	122	0.082	0.0625	8.4392	0.8286	0.6762	
30	27	0	119	0.1008	0.0467	8.9698	0.7941	0.6765	
30	30	0	116	0.1034	0.0481	9.3474	0.8384	0.697	
30	33	0	113	0.1327	0.0714	9.3864	0.8132	0.7253	
30	36	0	110	0.0455	0.1333	9.3789	0.8352	0.6703	
30	12	1	133	0.1504	0.0088	12.1906	0.4911	0.3929	
30	15	1	130	0.2	0	10.7859	0.5	0.3269	
30	18	1	127	0.189	0	11.493	0.4757	0.3495	
30	21	1	124	0.2419	0.0213	10.931	0.4891	0.3913	
30	24	1	121	0.0248	0.0254	11.1745	0.5478	0.4522	
30	27	1	118	0.0254	0.0174	11.2138	0.5221	0.4336	
30	30	1	115	0.0174	0.0177	11.5353	0.5405	0.3964	
30	33	1	112	0.0179	0.0182	11.0046	0.5	0.3426	
30	36	1	109	0.0092	0.0278	10.5867	0.4286	0.3524	
30	12	2	132	0.1894	0.0748	17.9949	0.3535	0.2525	
30	15	2	129	0.2326	0.0808	16.8808	0.2967	0.2527	
30	18	2	126	0.3254	0.0824	14.9379	0.2692	0.2051	
30	21	2	123	0.374	0.0519	16.5078	0.3699	0.274	
30	24	2	120	0.2167	0.0426	16.5805	0.2889	0.2333	
30	27	2	117	0.188	0.0421	16.8333	0.1868	0.1429	
30	30	2	114	0.193	0.0543	18.0397	0.2184	0.1839	
30	33	2	111	0.2252	0.0581	16.4307	0.284	0.2099	
30	36	2	108	0.1019	0.1237	14.3544	0.3647	0.2824	
