period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
7	36	0	266	0.0226	0.0308	7.2267	0.8373	0.7143	
7	39	0	263	0.0114	0.0308	6.9833	0.8492	0.7341	
7	42	0	260	0.0077	0.031	7.0459	0.836	0.724	
7	45	0	257	0.0078	0.0353	7.0041	0.878	0.7439	
7	48	0	254	0	0.0433	7.0198	0.8436	0.7284	
7	51	0	251	0.0159	0.0526	7.2455	0.8333	0.7222	
7	54	0	248	0.0161	0.0861	7.3898	0.8072	0.722	
7	57	0	245	0.0122	0.0826	7.272	0.8153	0.6982	
7	60	0	242	0.0124	0.0753	7.2045	0.819	0.6878	
7	63	0	239	0	0.0837	7.342	0.8447	0.7032	
7	66	0	236	0	0.0678	7.3939	0.8455	0.7136	
7	69	0	233	0.0043	0.0474	7.0669	0.8688	0.724	
7	72	0	230	0.0043	0.0611	7.3386	0.8558	0.7535	
7	75	0	227	0	0.0485	7.2315	0.8611	0.7593	
7	78	0	224	0	0.0491	7.4092	0.8498	0.7559	
7	36	1	265	0	0.0491	7.4261	0.2698	0.1984	
7	39	1	262	0	0.0611	7.4204	0.3049	0.2439	
7	42	1	259	0.0039	0.062	7.1849	0.3058	0.2066	
7	45	1	256	0.0156	0.0913	7.3516	0.2707	0.2009	
7	48	1	253	0.004	0.0754	7.4257	0.2618	0.1803	
7	51	1	250	0.016	0.0813	7.4863	0.2434	0.2124	
7	54	1	247	0.0243	0.0664	7.518	0.2311	0.1822	
7	57	1	244	0.0123	0.0788	7.5925	0.2342	0.1622	
7	60	1	241	0.0124	0.0798	7.4674	0.2648	0.1826	
7	63	1	238	0	0.0924	7.4338	0.3009	0.213	
7	66	1	235	0.0128	0.0905	7.574	0.2227	0.1611	
7	69	1	232	0.0129	0.0961	7.5879	0.2754	0.1739	
7	72	1	229	0.0044	0.1053	7.6559	0.2353	0.1667	
7	75	1	226	0.0088	0.1161	7.7917	0.2374	0.1818	
7	78	1	223	0.0045	0.1126	7.8609	0.2386	0.1574	
7	36	2	264	0.0644	0.081	9.5386	0.2643	0.1938	
7	39	2	261	0.0728	0.1116	9.6168	0.2047	0.1628	
7	42	2	258	0.0543	0.0943	9.6101	0.2443	0.1629	
7	45	2	255	0.0392	0.1143	9.7101	0.2535	0.1659	
7	48	2	252	0.0397	0.0496	9.8299	0.2304	0.187	
7	51	2	249	0.0402	0.0544	10.0971	0.2345	0.1372	
7	54	2	246	0.0366	0.038	9.8946	0.2149	0.1667	
7	57	2	243	0.037	0.0342	10.0887	0.2611	0.2035	
7	60	2	240	0.0375	0.039	9.8539	0.3018	0.2162	
7	63	2	237	0.0338	0.0349	9.6721	0.2579	0.1946	
7	66	2	234	0.0427	0.0223	9.7904	0.2466	0.1826	
7	69	2	231	0.039	0.0405	9.7323	0.2488	0.1878	
7	72	2	228	0.0482	0.023	9.6331	0.2783	0.2217	
7	75	2	225	0.04	0.0139	9.13	0.3005	0.23	
7	78	2	222	0.045	0.0142	9.1844	0.3206	0.2201	
