period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
7	36	0	458	15	79	11.5142	0.9093	0.8297	
7	39	0	455	13	81	11.6885	0.9114	0.8338	
7	42	0	452	14	82	11.3673	0.9326	0.8624	
7	45	0	449	12	81	8.495	0.9326	0.8511	
7	48	0	446	21	76	9.0924	0.9255	0.8596	
7	51	0	443	23	81	8.3931	0.941	0.8791	
7	54	0	440	30	76	9.0207	0.9431	0.8832	
7	57	0	437	36	79	8.6575	0.9441	0.8789	
7	60	0	434	30	82	8.3238	0.9503	0.8851	
7	63	0	431	32	91	8.8945	0.9416	0.8636	
7	66	0	428	34	98	8.3348	0.9459	0.8682	
7	69	0	425	31	112	8.3855	0.9504	0.8723	
7	72	0	422	30	122	8.1105	0.9556	0.8778	
7	75	0	419	27	135	8.3474	0.9689	0.8794	
7	78	0	416	19	141	8.0082	0.957	0.8945	
7	36	1	457	14	52	9.6908	0.3785	0.289	
7	39	1	454	18	42	9.6353	0.3909	0.2868	
7	42	1	451	19	44	9.628	0.3376	0.2448	
7	45	1	448	15	45	9.4252	0.3531	0.2577	
7	48	1	445	13	51	9.6122	0.3675	0.2782	
7	51	1	442	11	51	9.6928	0.3368	0.2605	
7	54	1	439	21	38	9.6931	0.3289	0.2553	
7	57	1	436	29	40	9.6654	0.3597	0.2807	
7	60	1	433	20	38	8.9048	0.3893	0.2773	
7	63	1	430	25	45	8.6984	0.3444	0.2528	
7	66	1	427	20	53	8.6851	0.3672	0.2655	
7	69	1	424	19	64	8.8131	0.3314	0.2551	
7	72	1	421	13	69	8.8364	0.3599	0.2507	
7	75	1	418	9	91	8.9942	0.3585	0.2704	
7	78	1	415	3	102	8.3957	0.3903	0.2903	
7	36	2	456	58	55	12.1381	0.3499	0.2449	
7	39	2	453	73	52	12.2562	0.3079	0.25	
7	42	2	450	79	59	12.3042	0.3141	0.234	
7	45	2	447	83	59	11.649	0.3344	0.2459	
7	48	2	444	61	64	11.9046	0.3605	0.2571	
7	51	2	441	78	69	12.0174	0.3231	0.2211	
7	54	2	438	100	58	11.6746	0.3179	0.2286	
7	57	2	435	101	62	12.1858	0.3015	0.239	
7	60	2	432	93	61	12.1054	0.3453	0.2626	
7	63	2	429	89	63	11.5417	0.3321	0.2635	
7	66	2	426	95	66	10.6667	0.3434	0.2755	
7	69	2	423	94	71	10.5616	0.3488	0.2558	
7	72	2	420	88	65	10.5502	0.3521	0.2547	
7	75	2	417	95	63	9.5248	0.3629	0.2664	
7	78	2	414	101	61	9.1116	0.381	0.3135	
