period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
14	24	0	127	0.126	0.0631	12.2365	0.7019	0.5962	
14	27	0	124	0.1048	0.036	12.0656	0.7196	0.5888	
14	30	0	121	0.0744	0.0625	12.2339	0.7714	0.6381	
14	33	0	118	0.0508	0.0446	12.1686	0.7944	0.6355	
14	36	0	115	0.0087	0.0439	12.5667	0.8165	0.6789	
14	39	0	112	0.0089	0.045	12.251	0.8585	0.7075	
14	42	0	109	0.0092	0.0278	12.5108	0.8381	0.7524	
14	45	0	106	0	0.0377	12.7371	0.8627	0.7157	
14	48	0	103	0	0.0388	12.7419	0.8485	0.7475	
14	51	0	100	0	0.03	12.1728	0.8866	0.7732	
14	54	0	97	0	0	13.0601	0.8866	0.7423	
14	24	1	126	0.0238	0	14.723	0.3659	0.2764	
14	27	1	123	0.0813	0	14.6283	0.292	0.2301	
14	30	1	120	0.0667	0.0089	13.8263	0.2883	0.2072	
14	33	1	117	0.0598	0	13.7754	0.3273	0.2273	
14	36	1	114	0.0439	0.0092	13.721	0.2963	0.213	
14	39	1	111	0.036	0.0093	13.674	0.3019	0.217	
14	42	1	108	0.0093	0.0093	13.7645	0.2642	0.2264	
14	45	1	105	0.0095	0.0385	13.8128	0.26	0.22	
14	48	1	102	0.0196	0.02	14.0921	0.3163	0.2143	
14	51	1	99	0.0808	0.011	14.6563	0.2222	0.2	
14	54	1	96	0.1354	0.0241	15.2364	0.2593	0.2099	
14	24	2	125	0.136	0	19.1918	0.2315	0.1759	
14	27	2	122	0.1557	0.0097	19.3405	0.2451	0.1471	
14	30	2	119	0.1597	0	18.7677	0.29	0.19	
14	33	2	116	0.181	0	18.7744	0.2	0.1474	
14	36	2	113	0.1681	0.0106	17.9884	0.2688	0.2151	
14	39	2	110	0.1364	0.0421	17.6966	0.1648	0.0989	
14	42	2	107	0.0935	0.0206	17.8889	0.2316	0.1684	
14	45	2	104	0.0481	0.0303	17.9562	0.2708	0.1667	
14	48	2	101	0.0198	0.0404	17.6384	0.2	0.1368	
14	51	2	98	0.0102	0.0825	18.1619	0.2472	0.1573	
14	54	2	95	0.0316	0.0978	18.7985	0.2651	0.2169	
