period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
7	36	0	266	0.0263	0.0425	7.1088	0.8105	0.6694	
7	39	0	263	0.0152	0.0386	6.7192	0.8353	0.7309	
7	42	0	260	0.0154	0.0547	7.0477	0.8347	0.7025	
7	45	0	257	0.0156	0.0593	6.8563	0.8487	0.7395	
7	48	0	254	0.0079	0.0595	7.0984	0.8608	0.7384	
7	51	0	251	0.012	0.0726	7.085	0.8478	0.7304	
7	54	0	248	0.0242	0.095	7.0005	0.8767	0.758	
7	57	0	245	0.0041	0.0984	7.0746	0.8636	0.7409	
7	60	0	242	0	0.0826	7.2357	0.8514	0.7027	
7	63	0	239	0	0.0962	7.1432	0.8565	0.75	
7	66	0	236	0.0085	0.0769	7.4012	0.8843	0.7361	
7	69	0	233	0.0129	0.0565	7.0468	0.871	0.7465	
7	72	0	230	0.0043	0.0611	7.1442	0.8651	0.7581	
7	75	0	227	0	0.0529	6.9642	0.8884	0.7907	
7	78	0	224	0	0.0714	7.2621	0.875	0.7788	
7	36	1	265	0.0038	0.053	7.3308	0.316	0.216	
7	39	1	262	0	0.0687	7.3186	0.3402	0.2582	
7	42	1	259	0	0.0888	7.2981	0.3178	0.2331	
7	45	1	256	0	0.0898	7.2555	0.309	0.2318	
7	48	1	253	0	0.0988	7.4097	0.2544	0.2061	
7	51	1	250	0	0.084	7.4077	0.2358	0.2096	
7	54	1	247	0.004	0.0772	7.4128	0.2467	0.185	
7	57	1	244	0.0041	0.0823	7.3926	0.2601	0.1928	
7	60	1	241	0.0041	0.0958	7.3429	0.2811	0.212	
7	63	1	238	0.0042	0.097	7.471	0.2804	0.1963	
7	66	1	235	0.0043	0.1154	7.5238	0.2319	0.1739	
7	69	1	232	0	0.1164	7.6218	0.2927	0.1854	
7	72	1	229	0	0.1223	7.713	0.2388	0.1741	
7	75	1	226	0	0.146	7.797	0.2591	0.1969	
7	78	1	223	0	0.1256	7.7931	0.2769	0.1846	
7	36	2	264	0.0341	0.0588	9.7407	0.2417	0.1625	
7	39	2	261	0.0421	0.08	9.5765	0.2348	0.1609	
7	42	2	258	0.031	0.064	9.6554	0.2692	0.2009	
7	45	2	255	0.0039	0.0591	9.75	0.2552	0.1674	
7	48	2	252	0.004	0.0558	9.538	0.2278	0.1688	
7	51	2	249	0.0161	0.049	9.5859	0.2747	0.1803	
7	54	2	246	0.0203	0.0498	9.7917	0.2533	0.1747	
7	57	2	243	0.0247	0.0295	9.4243	0.2826	0.2	
7	60	2	240	0.0208	0.0255	9.1724	0.2882	0.1921	
7	63	2	237	0.0169	0.0215	9.1596	0.2895	0.2018	
7	66	2	234	0.0085	0.0259	9.2681	0.2257	0.1814	
7	69	2	231	0.0043	0.0217	9.2867	0.2889	0.1956	
7	72	2	228	0	0.0219	9.27	0.2735	0.2108	
7	75	2	225	0	0.0133	9.2443	0.3063	0.2432	
7	78	2	222	0.0045	0.009	9.1373	0.2922	0.2237	
