"model.order" "bugs.actual" "fc.mean"
2 10 18.5930996908018
1 20 14.567900137137
1 14 14.6756946495426
1 14 14.7241130599085
1 25 12.5727387993357
1 23 24.4694844013845
1 30 24.4618927805529
1 44 29.9995868607662
1 30 33.5426298865434
2 23 37.8304428987373
1 29 26.3816734198243
1 26 22.1919426889245
1 17 30.2007899339503
2 12 28.3356719653763
1 11 10.5410924580498
1 10 13.5322134104392
1 20 12.222159106795
1 16 9.85907017491882
1 17 26.3803494942413
1 33 9.03892898573174
1 36 26.9154382575693
1 36 36.8360037729524
1 20 36.5480786589821
1 32 32.503902886935
1 13 17.7637079555659
1 18 23.9145602146582
1 15 16.7773129067193
1 10 13.1142865577524
1 14 14.1374000212606
1 13 7.06544544411019
1 13 15.09471733165
1 17 12.7555010238774
1 21 12.814699545261
1 31 21.1656427980891
1 28 29.1220762930575
1 33 28.1675140987578
1 28 30.8836706295878
1 19 30.2965267778635
1 17 22.5127147083604
1 28 16.978827994997
1 21 26.9650779717924
1 22 22.5191533032015
1 21 23.3750205697014
1 25 20.0351203905192
1 31 24.3621619838058
1 36 29.9114682330852
1 34 35.2621403120061
1 55 32.0878610816044
1 23 59.7256914479297
1 39 28.4814027911346
1 35 31.5956741972128
1 22 36.3911456120526
1 19 28.7073971257516
1 26 21.6567873536645
1 30 17.8083781571794
1 44 38.536189658212
1 49 31.6479632034212
1 56 48.0191956214575
1 49 53.0604820716647
1 28 50.389987413683
1 24 37.8906776195534
1 29 23.4394918839181
1 27 27.2055228821365
1 32 32.718923704727
1 32 30.886910321431
1 36 30.6913893249999
1 37 37.8485039728617
1 27 37.204044133893
1 31 38.9792113174673
1 22 19.0585923133601
1 55 23.761549573912
1 36 50.2191478225961
1 47 36.9924927749321
1 61 45.065327897095
1 27 56.8625433472776
1 35 38.9397319785798
1 31 34.3724506575172
1 27 31.9214098885652
1 37 26.9162776839588
1 25 34.3657176354046
1 20 28.4419417191955
1 26 24.74927420597
1 36 24.7544862830023
1 30 31.170794846923
1 39 33.7160959074465
1 28 32.4663423866356
1 22 29.4199604232477
1 22 21.4940683973516
1 51 23.703448678267
1 80 19.2719321936199
1 93 81.5730235217114
1 68 90.0525697744494
1 50 79.5237304572563
1 39 43.0979886583767
1 53 42.6825755443095
1 25 50.7838443952835
1 33 29.9085846604642
1 54 31.4318210002896
1 37 61.8563698254937
1 80 30.1287017122703
1 57 86.4233406792395
1 50 55.5987206908492
1 42 40.8313200883331
1 54 45.9721887761125
1 31 50.6134953994741
1 25 41.1258353602279
1 36 23.4332452369375
1 25 26.9929236267336
1 16 31.7107781484297
1 18 18.0513696616213
1 27 14.1442223541239
1 33 36.3109411481809
1 31 25.3503233690752
1 28 31.6954808405749
1 39 20.9490362219171
1 52 48.0940058020748
1 69 54.2783000733791
1 99 51.956388649445
1 83 98.607809700226
1 42 76.7390544033302
1 46 42.7695266864584
1 35 30.9985186415335
1 51 51.6806577128512
