period	w.size	ndiff	nwind	nnval	nnnorm	RMSE	90 conf	75 conf	
30	12	0	134	35	6	8.9959	0.8387	0.7312	
30	15	0	131	35	3	9.2606	0.871	0.7097	
30	18	0	128	35	4	9.3738	0.8427	0.6966	
30	21	0	125	35	3	10.0769	0.8391	0.6322	
30	24	0	122	10	7	8.4392	0.8286	0.6762	
30	27	0	119	12	5	8.9698	0.7941	0.6765	
30	30	0	116	12	5	9.3474	0.8384	0.697	
30	33	0	113	15	7	9.3864	0.8132	0.7253	
30	36	0	110	5	14	9.3789	0.8352	0.6703	
30	12	1	133	20	1	12.1906	0.4911	0.3929	
30	15	1	130	26	0	10.7859	0.5	0.3269	
30	18	1	127	24	0	11.493	0.4757	0.3495	
30	21	1	124	30	2	10.931	0.4891	0.3913	
30	24	1	121	3	3	11.1745	0.5478	0.4522	
30	27	1	118	3	2	11.2138	0.5221	0.4336	
30	30	1	115	2	2	11.5353	0.5405	0.3964	
30	33	1	112	2	2	11.0046	0.5	0.3426	
30	36	1	109	1	3	10.5867	0.4286	0.3524	
30	12	2	132	25	8	17.9949	0.3535	0.2525	
30	15	2	129	30	8	16.8808	0.2967	0.2527	
30	18	2	126	41	7	14.9379	0.2692	0.2051	
30	21	2	123	46	4	16.5078	0.3699	0.274	
30	24	2	120	26	4	16.5805	0.2889	0.2333	
30	27	2	117	22	4	16.8333	0.1868	0.1429	
30	30	2	114	22	5	18.0397	0.2184	0.1839	
30	33	2	111	25	5	16.4307	0.284	0.2099	
30	36	2	108	11	12	14.3544	0.3647	0.2824	
