"model.order" "bugs.actual" "fc.mean"
1 45 49.0838002893869
1 45 50.7866907088134
1 46 48.1956265330408
1 38 39.6719377034473
1 28 36.6196985860738
1 45 32.8989262063295
1 42 43.7437833433145
1 40 43.520496899363
1 48 34.3774475004539
1 30 32.7154211197769
1 37 37.5496504060283
1 35 29.9907027413607
1 22 33.2919856057433
1 39 23.7972223721246
1 33 37.7030156127306
1 15 35.2081631778079
1 36 19.4075494825407
1 26 27.5976353137929
1 13 30.9881224817086
2 25 19.47938401758
2 18 31.0459889972633
2 17 7.70473546636886
2 13 24.5724927243722
2 20 20.7920050891508
2 15 13.3778024523532
2 16 17.0180377516987
2 20 13.58331656822
2 8 19.3271643715831
2 9 13.5472417724832
2 12 16.7080533170482
2 9 7.97556748235034
2 7 9.53665798340669
2 12 10.320270536547
2 14 9.60937800223771
2 12 13.1617800155539
2 10 7.94628971442387
2 11 14.3705501470663
2 14 11.0509293954131
2 19 12.6645340765961
1 17 18.163012645624
1 17 16.3667438233171
1 18 17.081702912604
1 17 18.7312654723579
1 12 17.3460569026218
1 25 14.7052249579553
1 16 19.1185482926731
1 17 20.0549482943664
1 16 18.3824423549584
1 32 17.2534237684606
1 31 23.2394293150896
1 23 26.9655992093371
1 29 31.3211722693716
1 35 26.4614179679838
1 46 35.7920622870718
1 42 35.9457223045072
1 37 45.8149190536246
1 42 35.3728704378707
1 32 36.1153360949075
1 34 46.8901571546534
1 22 30.6869485372788
1 23 24.660825102564
1 26 21.8087284242875
1 34 26.1985812674213
1 28 32.602529286892
1 24 30.452307130836
1 26 25.5768886222088
1 30 25.1808819311518
1 37 28.701161022221
1 28 36.1453391013083
1 23 27.4168251350733
1 25 24.6316399810107
1 42 25.0381695325587
1 33 39.1652411809659
1 26 36.9329607743971
1 56 25.9403827877796
1 39 52.386855185526
1 25 46.0305613778033
1 30 24.4012713390435
1 50 29.8798851258192
1 46 47.8331920387289
1 35 46.6737647671976
1 26 39.8608483510712
1 17 25.1238213207036
1 27 20.2653004080014
1 35 26.0661528699656
1 36 34.3545526508299
1 56 29.5278054666385
1 34 57.8151812404496
1 20 42.7338734653394
1 50 7.43787132959416
2 71 63.1576178512419
1 46 72.438925944701
2 26 16.9278414297772
2 30 46.3465761079505
2 15 43.0237666419115
2 28 8.96292781910385
2 33 39.9630241403768
2 44 27.0402830241388
1 35 31.6063896074547
1 32 35.4565336304622
1 23 37.850361264759
1 36 24.4819162904405
1 15 32.4914989523221
1 17 23.8325492053452
1 18 12.4860227440256
1 5 15.6445529560541
1 8 10.1906125392688
1 6 6.54134601632955
1 8 7.01999666064792
1 7 9.40226344543715
1 8 5.68122180359503
1 8 22.8175576507429
1 17 8.00459436498204
1 20 18.5956257246024
1 13 7.57800394873057
