"imps","news","90% lo","75% lo","mean","75% hi","90% hi"
0,0,13.6384231235427,14.3327174698324,15.9478321560739,17.5629468423155,18.2572411886051
0,2,13.0356277152161,13.7299220615058,15.3450367477473,16.9601514339889,17.6544457802785
0,4,12.4328323068895,13.1271266531791,14.7422413394207,16.3573560256623,17.0516503719519
0,6,11.8300368985629,12.5243312448525,14.1394459310941,15.7545606173357,16.4488549636253
3,0,13.7797517537432,14.4740461000328,16.0891607862744,17.704275472516,18.3985698188056
3,2,13.1769563454166,13.8712506917062,15.4863653779478,17.1014800641893,17.795774410479
3,4,12.57416093709,13.2684552833796,14.8835699696212,16.4986846558627,17.1929790021524
3,6,11.9713655287634,12.665659875053,14.2807745612946,15.8958892475361,16.5901835938258
6,0,13.9210803839437,14.6153747302333,16.2304894164749,17.8456041027164,18.5398984490061
6,2,13.318284975617,14.0125793219067,15.6276940081482,17.2428086943898,17.9371030406794
6,4,12.7154895672904,13.4097839135801,15.0248985998216,16.6400132860632,17.3343076323528
6,6,12.1126941589638,12.8069885052535,14.422103191495,16.0372178777366,16.7315122240262
9,0,14.0624090141441,14.7567033604338,16.3718180466753,17.9869327329169,18.6812270792065
9,2,13.4596136058175,14.1539079521071,15.7690226383487,17.3841373245903,18.0784316708799
9,4,12.8568181974909,13.5511125437805,15.1662272300221,16.7813419162637,17.4756362625533
9,6,12.2540227891643,12.9483171354539,14.5634318216955,16.178546507937,16.8728408542267
12,0,14.2037376443446,14.8980319906342,16.5131466768758,18.1282613631173,18.822555709407
12,2,13.600942236018,14.2952365823076,15.9103512685492,17.5254659547907,18.2197603010804
12,4,12.9981468276914,13.692441173981,15.3075558602226,16.9226705464641,17.6169648927538
12,6,12.3953514193647,13.0896457656544,14.7047604518959,16.3198751381375,17.0141694844271
15,0,14.345066274545,15.0393606208347,16.6544753070762,18.2695899933178,18.9638843396074
15,2,13.7422708662184,14.4365652125081,16.0516798987496,17.6667945849912,18.3610889312808
15,4,13.1394754578918,13.8337698041815,15.448884490423,17.0639991766646,17.7582935229542
15,6,12.5366800495652,13.2309743958548,14.8460890820964,16.461203768338,17.1554981146276
