"imps","news","90% lo","75% lo","mean","75% hi","90% hi"
0,0,21.8388297787882,22.5085966935108,24.0666540017809,25.624711310051,26.2944782247736
0,2,23.1422715206055,23.8120384353281,25.3700957435982,26.9281530518684,27.597919966591
0,4,24.4457132624229,25.1154801771455,26.6735374854156,28.2315947936857,28.9013617084083
0,6,25.7491550042402,26.4189219189628,27.9769792272329,29.535036535503,30.2048034502256
3,0,22.5134923342161,23.1832592489387,24.7413165572088,26.2993738654789,26.9691407802015
3,2,23.8169340760334,24.486700990756,26.0447582990261,27.6028156072962,28.2725825220188
3,4,25.1203758178507,25.7901427325733,27.3482000408434,28.9062573491136,29.5760242638362
3,6,26.4238175596681,27.0935844743907,28.6516417826608,30.2096990909309,30.8794660056535
6,0,23.188154889644,23.8579218043666,25.4159791126367,26.9740364209068,27.6438033356294
6,2,24.4915966314613,25.1613635461839,26.719420854454,28.2774781627241,28.9472450774467
6,4,25.7950383732786,26.4648052880012,28.0228625962713,29.5809199045414,30.250686819264
6,6,27.0984801150959,27.7682470298185,29.3263043380886,30.8843616463588,31.5541285610814
9,0,23.8628174450718,24.5325843597944,26.0906416680645,27.6486989763347,28.3184658910573
9,2,25.1662591868892,25.8360261016118,27.3940834098819,28.952140718152,29.6219076328746
9,4,26.4697009287065,27.1394678434291,28.6975251516992,30.2555824599693,30.9253493746919
9,6,27.7731426705238,28.4429095852464,30.0009668935165,31.5590242017866,32.2287911165092
12,0,24.5374800004997,25.2072469152223,26.7653042234924,28.3233615317625,28.9931284464851
12,2,25.840921742317,26.5106886570396,28.0687459653097,29.6268032735799,30.2965701883025
12,4,27.1443634841344,27.814130398857,29.3721877071271,30.9302450153972,31.6000119301198
12,6,28.4478052259517,29.1175721406743,30.6756294489444,32.2336867572145,32.9034536719371
15,0,25.2121425559276,25.8819094706502,27.4399667789203,28.9980240871904,29.667791001913
15,2,26.5155842977449,27.1853512124675,28.7434085207376,30.3014658290077,30.9712327437303
15,4,27.8190260395622,28.4887929542848,30.0468502625549,31.6049075708251,32.2746744855477
15,6,29.1224677813796,29.7922346961022,31.3502920043723,32.9083493126424,33.578116227365
