period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
30	12	0	134	0.2537	0.05	10.5601	0.8105	0.7474	
30	15	0	131	0.2137	0.0291	9.5438	0.85	0.72	
30	18	0	128	0.2266	0.0404	9.5969	0.8421	0.6947	
30	21	0	125	0.264	0.0217	10.2667	0.8111	0.7	
30	24	0	122	0.0656	0.0702	9.6204	0.8396	0.7075	
30	27	0	119	0.0756	0.0636	9.7352	0.767	0.6505	
30	30	0	116	0.0862	0.0849	9.9829	0.7835	0.7113	
30	33	0	113	0.0973	0.0588	9.1539	0.8646	0.75	
30	36	0	110	0.0455	0.1143	9.5042	0.8817	0.7204	
30	12	1	133	0.1654	0	11.1269	0.4775	0.4144	
30	15	1	130	0.1692	0	11.1249	0.463	0.3333	
30	18	1	127	0.1969	0	10.9949	0.4216	0.3333	
30	21	1	124	0.2339	0.0105	10.5803	0.4787	0.383	
30	24	1	121	0.0413	0.0086	10.2685	0.5391	0.4522	
30	27	1	118	0.0339	0.0175	10.8562	0.4732	0.4375	
30	30	1	115	0.0435	0.0182	10.3656	0.537	0.4259	
30	33	1	112	0.0446	0.0187	10.4198	0.4667	0.3619	
30	36	1	109	0.0183	0.0093	10.3279	0.4434	0.3302	
30	12	2	132	0.2348	0.099	16.3225	0.3736	0.2857	
30	15	2	129	0.2248	0.08	18.469	0.3261	0.2283	
30	18	2	126	0.2778	0.0769	17.1721	0.3214	0.2738	
30	21	2	123	0.3496	0.0625	16.7591	0.3733	0.3067	
30	24	2	120	0.2167	0.0532	15.9745	0.2697	0.2135	
30	27	2	117	0.265	0.0349	15.4464	0.2289	0.1687	
30	30	2	114	0.2719	0.0361	15.8677	0.1875	0.1375	
30	33	2	111	0.2523	0.0361	14.4222	0.25	0.2	
30	36	2	108	0.1574	0.0549	14.6457	0.2674	0.1512	
