period	w.size	ndiff	nwind	p.nval	p.nnorm	RMSE	90 conf	75 conf	
14	24	0	290	0.0655	0.0185	6.0408	0.8271	0.7368	
14	27	0	287	0.0732	0.0338	6.2294	0.821	0.7198	
14	30	0	284	0.088	0.0463	6.3016	0.8381	0.7368	
14	33	0	281	0.0712	0.0345	6.1508	0.877	0.75	
14	36	0	278	0.0432	0.0338	6.0623	0.8833	0.7588	
14	39	0	275	0.0473	0.0573	6.0728	0.8907	0.7571	
14	42	0	272	0.0772	0.0797	6.1146	0.8918	0.7619	
14	45	0	269	0.0855	0.1057	6.2106	0.8727	0.7409	
14	48	0	266	0.0489	0.1186	5.9274	0.8969	0.7578	
14	51	0	263	0.0456	0.1315	5.8937	0.8853	0.7569	
14	54	0	260	0.0462	0.1411	6.2151	0.8873	0.7418	
14	24	1	289	0.0692	0.0297	6.0855	0.3563	0.2644	
14	27	1	286	0.0629	0.0187	5.9908	0.365	0.2586	
14	30	1	283	0.0777	0.0192	5.9715	0.4062	0.293	
14	33	1	280	0.0893	0.0314	5.977	0.3887	0.2996	
14	36	1	277	0.0903	0.0278	6.0303	0.3878	0.2898	
14	39	1	274	0.0985	0.0324	6.0421	0.3891	0.2929	
14	42	1	271	0.1181	0.0418	6.1093	0.4148	0.3144	
14	45	1	268	0.1194	0.0254	6.0003	0.4174	0.2913	
14	48	1	265	0.1472	0.0531	5.9811	0.3598	0.2664	
14	51	1	262	0.1489	0.0807	6.0572	0.3561	0.2537	
14	54	1	259	0.1622	0.0922	6.0686	0.3655	0.264	
14	24	2	288	0.2014	0.0304	8.8933	0.2691	0.1973	
14	27	2	285	0.1544	0.0456	8.6314	0.2565	0.1783	
14	30	2	282	0.1773	0.069	8.6628	0.2685	0.1806	
14	33	2	279	0.1828	0.0658	8.3941	0.2394	0.1549	
14	36	2	276	0.0942	0.04	8.3626	0.275	0.1958	
14	39	2	273	0.1209	0.0167	8.6061	0.2627	0.2119	
14	42	2	270	0.1704	0.0089	8.3573	0.2387	0.1622	
14	45	2	267	0.1723	0.0136	8.3428	0.2202	0.133	
14	48	2	264	0.178	0.023	8.2138	0.2547	0.1981	
14	51	2	261	0.1992	0.0144	7.9015	0.267	0.1748	
14	54	2	258	0.2209	0.0199	8.0545	0.3046	0.2132	
